标题,作者,点赞,点击,评论,收藏,点赞比（越小越好）,第 30 个百分位数,第 90 个百分位数,
《异化之地》,canghaole,8,705,0,0,88.12500 ,,,
【恋与深空 鸦 鱼】你是谁的保镖小姐,aimu521,6,"1,003",1,0,167.16667 ,,,
[彻政]月光情人,猪瘟文学爱好者 (zhuwenaihaozhe),34,"1,614",0,1,47.47059 ,,,
惩罚（未）,SellingFriedRice,5,611,0,0,122.20000 ,,,
乌鸦饲养守则,melongliyu,42,"1,985",6,4,47.26190 ,,,
【彻政】画中仙,nowanymore,70,"1,818",5,4,25.97143 ,,,
【恋与深空GB】临空市海王,buyan,374,"10,006",55,28,26.75401 ,,,
【恋与深空/七夕预热】沈星回,Aninfing,58,"2,092",4,0,36.06897 ,,,
来到你的世界,StarfishnCrow,9,214,2,0,23.77778 ,,,
黑云压城,Antova0106,33,"2,062",0,3,62.48485 ,,,
【恋与深空/GB】过个嘴瘾,hujiujiujiuzhi,1,264,0,0,264.00000 ,,,
【恋与深空】我的23岁男房客,lumianlin,94,"1,952",22,10,20.76596 ,,,
幻日,临空掌管老式煤气灶的大乱炖厨子 (AstoriaLin),0,124,0,0,0.00000 ,,,
恋与深空剧情分析,Virva,34,"1,239",0,0,36.44118 ,,,
Lullaby,iamHsuan,12,281,3,0,23.41667 ,,,
【恋与深空/七夕预热】祁煜,Aninfing,37,"2,025",0,0,54.72973 ,,,
【恋与深空】全员向 穿梭的你,LilyL_216,42,"1,532",0,5,36.47619 ,,,
「恋与深空」《上瘾》,TingY7ii,283,"10,210",9,23,36.07774 ,,,
【恋与深空 主控黑化】黑色曼陀罗,aimu521,17,"1,010",2,0,59.41176 ,,,
Love in da Divorce,teateariye,95,"2,609",6,3,27.46316 ,,,
【恋与深空】隔墙花,lumianlin,"3,846","72,129",222,146,18.75429 ,,,
【沈星回】Sapphire,LinzL,27,"1,110",0,0,41.11111 ,,,
【夜宴迈巴赫】黎深/沈星回第一篇已完结,秦桑 (Isotope12),"1,102","40,364",16,30,36.62795 ,,,
唯一的姐！,orphan_account,1,644,0,0,644.00000 ,,,
【诱惑】,Lilianisakitten,5,270,0,0,54.00000 ,,,
灭螂药,orphan_account,9,648,0,0,72.00000 ,,,
《我是深空万人迷》,AS772,32,"1,874",21,5,58.56250 ,,,
“该离开乙游的是你们乙小妹吧”,orphan_account,31,904,0,0,29.16129 ,,,
七夕卡面延伸（未）,SellingFriedRice,7,"1,221",0,0,174.42857 ,,,
